x;y
17.2148;21.7497
17.1986;21.7719
17.1742;21.7942
17.1579;21.8053
17.1417;21.8275
17.1254;21.8497
17.1092;21.8608
17.0848;21.883
17.0687;21.9054
17.0525;21.9277
17.0363;21.9387
17.012;21.961
16.9957;21.9831
16.9797;22.0054
16.9555;22.0167
16.9392;22.039
16.9228;22.0611
16.9063;22.0831
16.8817;22.0941
16.8654;22.1162
16.849;22.1382
16.8326;22.1602
16.8082;22.1711
16.7917;22.193
16.7756;22.2153
16.7595;22.2378
16.7352;22.2601
16.7191;22.2713
16.703;22.2936
16.6869;22.3159
16.6627;22.3383
16.6465;22.3494
16.6302;22.3715
16.6141;22.3938
16.59;22.4162
16.574;22.4275
16.5576;22.4496
16.5414;22.4717
16.5171;22.494
16.5007;22.5051
16.4842;22.5272
16.4678;22.5492
16.4433;22.5712
16.4268;22.5931
16.4105;22.6041
16.394;22.626
16.3775;22.6479
16.3528;22.6699
16.3363;22.6809
16.32;22.7031
16.3036;22.7252
16.2793;22.7477
16.2632;22.759
16.2471;22.7814
16.2309;22.8038
16.2067;22.8151
16.1907;22.8375
16.1746;22.8598
16.1586;22.8822
16.1425;22.8933
16.1182;22.9155
16.1017;22.9376
16.0852;22.9596
16.0688;22.9705
16.044;22.9924
16.0277;23.0145
16.0112;23.0365
15.9947;23.0473
15.9782;23.0693
15.9535;23.0912
15.9372;23.1134
15.9207;23.1243
15.9046;23.1465
15.8802;23.1687
15.8642;23.1911
15.8482;23.2025
15.832;23.2248
15.8159;23.247
15.7916;23.2694
15.7754;23.2805
15.7594;23.3029
15.7431;23.325
15.7187;23.3472
15.7023;23.3581
15.6859;23.3802
15.6695;23.4023
15.653;23.4244
15.6284;23.4353
15.612;23.4573
15.5957;23.4793
15.5795;23.5016
15.5633;23.5126
15.5387;23.5346
15.5223;23.5566
15.506;23.5789
15.4898;23.5901
15.4733;23.6121
15.4489;23.6343
15.4329;23.6569
15.4169;23.6682
15.4008;23.6906
15.3765;23.713
15.36;23.7351
15.3437;23.7462
15.3274;23.7684
15.303;23.7907
15.2868;23.8129
15.2704;23.835
15.254;23.846
15.2374;23.868
15.2128;23.89
15.1965;23.9123
15.1801;23.9233
15.1638;23.9455
15.1476;23.9676
15.1232;23.9899
15.1071;24.0122
15.091;24.0236
15.0748;24.0457
15.0505;24.0679
15.0343;24.0901
15.0181;24.1013
15.0017;24.1233
14.9774;24.1456
14.9613;24.1679
14.9451;24.179
14.9289;24.2011
14.9045;24.2234
14.8882;24.2455
14.8716;24.2674
14.8551;24.2782
14.8388;24.3002
14.8146;24.3224
14.7982;24.3444
14.782;24.3666
14.7659;24.3778
14.7414;24.4
14.7249;24.422
14.7085;24.4442
14.692;24.4551
14.6676;24.4772
14.6513;24.4993
14.635;24.5214
14.6188;24.5435
14.5945;24.5547
14.5783;24.577
14.5621;24.5992
14.5459;24.6214
14.5216;24.6325
14.5054;24.6548
14.4891;24.6769
14.4729;24.6992
14.4484;24.7213
14.4321;24.7324
14.4159;24.7547
14.3997;24.777
14.3832;24.7991
14.3588;24.8103
14.3425;24.8325
14.3262;24.8546
14.3099;24.8767
14.2852;24.8987
14.2689;24.9097
14.2523;24.9316
14.2361;24.9538
14.2197;24.976
14.2033;24.987
14.179;25.0092
14.1628;25.0314
14.1466;25.0537
14.1304;25.0649
14.1141;25.0871
14.0898;25.1093
14.0734;25.1315
14.0572;25.1425
14.0327;25.1647
14.0163;25.1867
14;25.2088
13.9836;25.2198
13.9674;25.2421
13.9429;25.2642
13.9266;25.2864
13.9106;25.3089
13.8945;25.3201
13.8784;25.3424
13.8539;25.3645
13.8374;25.3865
13.821;25.3973
13.8044;25.4193
13.7798;25.4413
13.7633;25.4635
13.747;25.4857
13.7306;25.4968
13.706;25.5187
13.6898;25.5409
13.6735;25.563
13.6573;25.574
13.633;25.5963
13.6168;25.6185
13.6006;25.6408
13.5842;25.663
13.5681;25.6742
13.5439;25.6965
13.5277;25.7187
13.5115;25.7408
13.4952;25.7518
13.4707;25.7738
13.4543;25.7959
13.438;25.8182
13.4219;25.8293
13.4056;25.8514
13.3811;25.8735
13.3647;25.8955
13.3485;25.9178
13.332;25.9287
13.3155;25.9508
13.2992;25.9729
13.2747;25.995
13.2585;26.0061
13.2421;26.0282
13.2256;26.0503
13.2091;26.0724
13.1847;26.0946
13.1683;26.1057
13.1519;26.1279
13.1357;26.1502
13.1113;26.1725
13.0951;26.1836
13.0788;26.2057
13.0624;26.2277
13.0462;26.2498
13.0217;26.2609
13.0053;26.2829
12.989;26.3052
12.9645;26.3162
12.9481;26.3382
12.9318;26.3603
12.9154;26.3823
12.8992;26.4046
12.8749;26.4156
12.8585;26.4377
12.842;26.4597
12.8254;26.4816
12.8008;26.4925
12.7844;26.5147
12.7681;26.5368
12.7517;26.559
12.7355;26.5812
12.7111;26.5923
12.695;26.6146
12.6788;26.6368
12.6627;26.6592
12.6388;26.6706
12.6227;26.6931
12.6065;26.7154
12.5903;26.7375
12.574;26.7485
12.5577;26.7706
12.5332;26.7925
12.5166;26.8142
12.4999;26.8249
12.4831;26.8466
12.4663;26.8683
12.4497;26.8902
